feel_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,embody_q_postexp.started,body_image_3.started,mouse_body_3.started,key_resp_body_3.started,lt_text_body_3.started,rt_text_body_3.started,body_explanation_3.started,body_progress_3.started,reset_rect_3.started,reset_text_3.started,feeling_words.started,embody_q_postexp.stopped,mouse_body_3.x,mouse_body_3.y,mouse_body_3.leftButton,mouse_body_3.midButton,mouse_body_3.rightButton,mouse_body_3.time,mouse_body_3.clicked_name,key_resp_body_3.keys,key_resp_body_3.rt,key_resp_body_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Shame,0,0,0,9,0.046694200005731545,,0.013449699996272102,0.046694200005731545,0.017035900003975257,0.046694200005731545,0.046694200005731545,0.046694200005731545,0.046694200005731545,0.046694200005731545,0.046694200005731545,0.046694200005731545,0.046694200005731545,7.225741300004302,"[-0.012962962962962963, 0.2861111111111111]","[-0.40185185185185185, 0.1925925925925926]","[1, 1]","[0, 0]","[0, 0]","[3.117499300002237, 4.577791100004106]",['reset_rect_3'],return,7.178038900005049,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Panic,0,1,1,7,7.243315300001996,,7.226665599999251,7.243315300001996,0.0037050000100862235,7.243315300001996,7.243315300001996,7.243315300001996,7.243315300001996,7.243315300001996,7.243315300001996,7.243315300001996,7.243315300001996,8.869644100006553,[],[],[],[],[],[],[],return,1.6229447000077926,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Anger,0,2,2,0,8.879056999998284,,8.870210799999768,8.879056999998284,0.0029436000040732324,8.879056999998284,8.879056999998284,8.879056999998284,8.879056999998284,8.879056999998284,8.879056999998284,8.879056999998284,8.879056999998284,14.036717599999974,[],[],[],[],[],[],[],return,5.152501999997185,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Anxiety,0,3,3,1,14.04604180000024,,14.037248399996315,14.04604180000024,0.0028944000077899545,14.04604180000024,14.04604180000024,14.04604180000024,14.04604180000024,14.04604180000024,14.04604180000024,14.04604180000024,14.04604180000024,23.507342900004005,"[0.30092592592592593, 0.31296296296296294, -0.022222222222222223, 0.37592592592592594, 0.32314814814814813, -0.006481481481481481, -0.006481481481481481, -0.006481481481481481, -0.006481481481481481, -0.005555555555555556]","[0.2222222222222222, 0.31203703703703706, -0.3814814814814815, 0.21666666666666667, 0.027777777777777776, -0.41203703703703703, -0.41203703703703703, -0.41203703703703703, -0.4101851851851852, -0.4083333333333333]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0780021999962628, 2.0435013999958755, 3.2737113000039244, 4.227487700001802, 4.776600900004269, 5.68833989999257, 5.910303600001498, 6.195051799993962, 6.5290749999985565, 6.834886099997675]","['reset_rect_3', 'reset_rect_3', 'reset_rect_3', 'reset_rect_3', 'reset_rect_3', 'reset_rect_3']",return,9.456089799990878,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Neutral,0,4,4,10,23.524866000007023,,23.508125599997584,23.524866000007023,0.003121999994618818,23.524866000007023,23.524866000007023,23.524866000007023,23.524866000007023,23.524866000007023,23.524866000007023,23.524866000007023,23.524866000007023,23.826699299999746,[],[],[],[],[],[],[],return,0.2977469000034034,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Fear,0,5,5,2,23.835473900006036,,23.827161099994555,23.835473900006036,0.002174100009142421,23.835473900006036,23.835473900006036,23.835473900006036,23.835473900006036,23.835473900006036,23.835473900006036,23.835473900006036,23.835473900006036,24.093131400004495,[],[],[],[],[],[],[],return,0.250837200001115,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Sadness,0,6,6,6,24.102728600002592,,24.093761299998732,24.102728600002592,0.0029162999999243766,24.102728600002592,24.102728600002592,24.102728600002592,24.102728600002592,24.102728600002592,24.102728600002592,24.102728600002592,24.102728600002592,24.277267099998426,[],[],[],[],[],[],[],return,0.16812109999591485,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Safe,0,7,7,5,24.28590040000563,,24.27781670000695,24.28590040000563,0.0020911999890813604,24.28590040000563,24.28590040000563,24.28590040000563,24.28590040000563,24.28590040000563,24.28590040000563,24.28590040000563,24.28590040000563,24.411560399996233,[],[],[],[],[],[],[],return,0.12033589999191463,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Surprise,0,8,8,8,24.42030290000548,,24.41221450000012,24.42030290000548,0.002184199998737313,24.42030290000548,24.42030290000548,24.42030290000548,24.42030290000548,24.42030290000548,24.42030290000548,24.42030290000548,24.42030290000548,24.699239900000975,[],[],[],[],[],[],[],return,0.2769611999974586,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Depression,0,9,9,4,24.70917329999793,,24.699744600002305,24.70917329999793,0.0033393000048818067,24.70917329999793,24.70917329999793,24.70917329999793,24.70917329999793,24.70917329999793,24.70917329999793,24.70917329999793,24.70917329999793,25.077899299998535,[],[],[],[],[],[],[],return,0.3614515999943251,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
Happiness,0,10,10,3,25.087298800004646,,25.078569100005552,25.087298800004646,0.00256170000648126,25.087298800004646,25.087298800004646,25.087298800004646,25.087298800004646,25.087298800004646,25.087298800004646,25.087298800004646,25.087298800004646,25.290036699996563,[],[],[],[],[],[],[],return,0.19959930000186432,None,311462,001,2024-03-27_18h39.46.735,Embody_only_20240120_psychopy202225,2023.2.3,143.1715065778262,2024-03-27 18h39.51.518764 +1100,
